 ?. ??????????????????????????? 	" 35,922,795 "	" 9,056,113 "	" 26,866,682 "	" 2,014,095 "	" 164,343 "	" 130,471 "	" 396,354 "	" 144,668 "	" 385,902 "	" 393,724 "	" 124,122 "	" 164,237 "	" 114,174 "	" 11,185,444 "	" 119,221 "	" 246,833 "	" 356,171 "	" 1,382,315 "	" 661,331 "	" 354,060 "	" 127,690 "	" 211,220 "	" 7,728,719 "	 -   	" 340,681 "	" 197,836 "	" 682,324 "	" 374,750 "	" 466,969 "	" 1,237,757 "	" 427,567 "	" 117,946 "	" 146,065 "	" 94,936 "	" 215,364 "	" 248,687 "	" 623,277 "	" 208,888 "	" 447,388 "	" 791,154 "	" 273,176 "	" 311,415 "	" 373,475 "	" 150,875 "	" 6,465,567 "	" 685,239 "	" 56,438 "	" 1,326,344 "	" 257,574 "	" 219,416 "	" 265,405 "	" 437,238 "	" 247,322 "	" 249,583 "	" 294,028 "	" 214,278 "	" 467,076 "	" 336,039 "	" 279,651 "	" 430,649 "	" 529,635 "	" 171,136 "	" 2,633,334 "	" 454,757 "	" 378,803 "	" 426,253 "	" 474,707 "	" 216,302 "	" 66,290 "	" 304,795 "	" 312,133 "	" 4,557,600 "	" 281,571 "	" 81,173 "	" 579,082 "	" 118,629 "	" 602,365 "	" 239,119 "	" 441,341 "	" 240,508 "	" 346,890 "	" 789,300 "	" 130,488 "	" 216,201 "	" 261,692 "	" 229,451 "
     Total Vehicle under Motor Vehicle Act 																																																																																						
     ??. 6 ?????????????????????????????????? 7 ?? Urban Taxi 	" 99,009 "	" 95,124 "	" 3,885 "	 1 	 -   	 -   	 1 	 -   	 -   	 -   	 -   	 -   	 -   	" 1,880 "	 -   	 -   	 -   	 592 	 22 	 5 	 -   	 -   	" 1,261 "		 -   	 -   	 491 	 55 	 25 	 116 	 14 	 -   	 -   	 -   	 14 	 24 	 58 	 11 	 16 	 363 	 4 	 47 	 10 	 13 	 858 	 231 	 -   	 380 	 -   	 10 	 -   	 7 	 1 	 9 	 1 	 35 	 181 	 -   	 3 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	" 1,146 "	 -   	 -   	 624 	 -   	 59 	 17 	 349 	 -   	 2 	 91 	 -   	 -   	 4 	 -   
 ???????????????????????  ?  ??????  31 ??????? 2559 				 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   		 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 1 	 -   	 -   	 1 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 518 	 -   	 -   	 -   	 -   	 -   	 -   	 518 	 -   	 -   	 -   	 -   	 -   	 -   	 -   
     ??. 8 ??????????????????? Motortricycle Taxi (Tuk Tuk) 	" 20,499 "	" 9,338 "	" 11,161 "				 1 	 41 	 13 	" 1,335 "	 -   	" 1,729 "	 781 				" 1,062 "	 887 	 1 	 58 	 25 	 83 				 -   	 423 	 -   	 43 	 769 	 18 	 1 	 -   	 -   	 3 	 2 	 2 	 35 	 -   	 508 	 1 	 -   	 6 	 -   				" 1,141 "	 4 	 -   	 1 	 -   	 -   	 5 	 4 	 51 	 128 	 1 	 32 	 75 	 42 	 -   				 88 	 102 	 232 	 187 	 20 	 77 				 -   	 -   	 -   	 -   	 -   	 -   	 207 	 -   	 -   	 -   	 3 	 -   
     ??. 9 ?????????????????? Hotel Taxi 	" 4,023 "	 700 	" 3,323 "	 41 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 39 	 2 	 52 	 -   	 -   	 -   	 5 	 3 	 -   	 -   	 -   	 44 		 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 10 	 -   	 24 	 2 	 -   	 8 	 -   	 -   	 -   	 -   	 241 	 59 	 -   	 182 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 197 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 197 	" 2,792 "	 -   	 -   	 71 	 263 	 27 	 98 	" 2,311 "	 -   	 -   	 21 	 -   	 1 	 -   	 -   
     ??.10 ??????????????????? Tour Taxi 	" 4,405 "	" 1,405 "	" 3,000 "	 10 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 2 	 8 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   		 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	" 2,990 "	 -   	 -   	 7 	 26 	 -   	 395 	" 2,560 "	 -   	 2 	 -   	 -   	 -   	 -   	 -   
     ??.11 ??????????????????? Car For Hire 	 56 	 55 	 1 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   		 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 1 	 -   	 -   	 -   	 1 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
     ??.12 ?????????????????????? Motorcycle 	" 20,296,939 "	" 3,348,493 "	" 16,948,446 "	" 1,137,390 "	" 104,925 "	" 86,149 "	" 234,364 "	" 87,668 "	" 238,310 "	" 237,983 "	" 54,545 "	" 44,252 "	" 49,194 "	" 7,035,353 "	" 72,870 "	" 150,575 "	" 225,339 "	" 917,998 "	" 398,741 "	" 206,524 "	" 89,542 "	" 130,198 "	" 4,843,566 "		" 209,042 "	" 126,429 "	" 427,865 "	" 242,973 "	" 325,284 "	" 711,508 "	" 295,067 "	" 77,834 "	" 89,905 "	" 65,792 "	" 145,284 "	" 146,401 "	" 393,037 "	" 152,750 "	" 305,950 "	" 435,780 "	" 160,362 "	" 201,047 "	" 233,587 "	" 97,669 "	" 4,067,230 "	" 439,024 "	" 46,661 "	" 786,837 "	" 170,581 "	" 141,899 "	" 176,218 "	" 272,920 "	" 158,577 "	" 156,645 "	" 195,300 "	" 144,069 "	" 270,155 "	" 212,525 "	" 193,889 "	" 269,001 "	" 325,918 "	" 107,011 "	" 1,763,591 "	" 299,204 "	" 240,264 "	" 251,443 "	" 326,043 "	" 191,677 "	" 45,099 "	" 201,142 "	" 208,719 "	" 2,944,882 "	" 170,366 "	" 54,136 "	" 345,474 "	" 86,560 "	" 388,185 "	" 138,981 "	" 282,808 "	" 164,107 "	" 237,038 "	" 446,909 "	" 97,116 "	" 156,285 "	" 193,038 "	" 183,879 "
     ??.13 ??????????? Tractor 	" 498,091 "	" 88,395 "	" 409,696 "	" 41,000 "	" 3,202 "	" 1,000 "	" 15,436 "	 748 	" 5,028 "	" 1,924 "	 262 	" 1,059 "	" 12,341 "	" 216,937 "	 535 	" 2,440 "	" 2,266 "	" 4,566 "	" 2,221 "	" 2,823 "	 140 	" 7,786 "	" 194,160 "		" 13,841 "	" 4,108 "	" 18,125 "	" 11,365 "	" 12,193 "	" 34,585 "	" 11,634 "	" 3,194 "	" 4,864 "	" 1,712 "	" 4,607 "	" 7,925 "	" 14,521 "	" 3,779 "	" 8,190 "	" 11,827 "	" 8,273 "	" 7,619 "	" 9,827 "	" 1,971 "	" 118,380 "	" 8,578 "	 138 	" 4,288 "	" 3,959 "	" 2,738 "	 878 	" 1,010 "	" 2,464 "	" 5,528 "	" 9,366 "	" 3,298 "	" 9,624 "	" 13,954 "	" 6,283 "	" 20,044 "	" 20,705 "	" 5,525 "	" 18,537 "	" 6,406 "	" 6,041 "	" 1,402 "	" 1,123 "	 180 	 85 	" 1,375 "	" 1,925 "	" 14,842 "	" 1,283 "	 141 	" 3,939 "	 149 	" 2,838 "	 347 	 385 	" 1,394 "	 838 	" 2,528 "	 159 	 240 	 300 	 301 
     ??.14 ??????? Road Roller 	" 12,950 "	" 3,576 "	" 9,374 "	 727 	 35 	 47 	 131 	 58 	 123 	 79 	 52 	 156 	 46 	" 3,779 "	 43 	 170 	 86 	 292 	 128 	 138 	 23 	 117 	" 2,782 "		 104 	 111 	 237 	 185 	 423 	 392 	 251 	 31 	 96 	 2 	 28 	 90 	 149 	 28 	 122 	 204 	 111 	 75 	 86 	 57 	" 2,286 "	 242 	 15 	 375 	 74 	 78 	 48 	 117 	 116 	 93 	 161 	 77 	 180 	 117 	 161 	 206 	 173 	 53 	" 1,127 "	 247 	 87 	 159 	 388 	 19 	 39 	 95 	 93 	" 1,455 "	 117 	 40 	 272 	 39 	 119 	 42 	 24 	 57 	 90 	 293 	 44 	 97 	 104 	 117 
     ??.15 ????????????????? Farm Vehicle 	" 103,696 "	 6 	" 103,690 "	 991 	 81 	 -   	 236 	 -   	 133 	 533 	 7 	 1 	 -   	" 72,541 "	 70 	 21 	 110 	 13 	 12 	 7 	 1 	 51 	" 72,256 "		" 17,903 "	 710 	 201 	 248 	" 1,767 "	" 44,858 "	 466 	 19 	 283 	 -   	 258 	 171 	" 1,356 "	 56 	 58 	 974 	 308 	 666 	" 1,947 "	 7 	" 29,686 "	 920 	 3 	 30 	 42 	 6 	 25 	 127 	 119 	" 11,949 "	" 2,315 "	 18 	" 6,298 "	 777 	" 2,467 "	" 2,184 "	" 2,063 "	 343 	 428 	 40 	 27 	 3 	 8 	 -   	 3 	 318 	 29 	 44 	 2 	 1 	 3 	 1 	 6 	 3 	 -   	 -   	 3 	 4 	 -   	 -   	 2 	 19 
